2020-05-08T16:38:52.260Z|e54266a02be5b15 |::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|38.591|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:39:17.262Z|7b774f383dec0795|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|45.800|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:39:42.301Z|79d5bc413348c394|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|84.478|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:39:49.431Z|6433ccc983efc631|::ffff:127.0.0.1|admin|GET|/api/v1/ui/artifactsearch/pkg/availablePackages|200|-|-|12.349|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:39:49.469Z|373a68189536d09e|::ffff:127.0.0.1|admin|GET|/api/v1/ui/repodata?search=true|200|610|-|19.687|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:39:49.526Z|3492808087d7734b|::ffff:127.0.0.1|admin|GET|/api/v1/ui/repodata?packageSearch=true|200|430|-|8.187|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:39:49.657Z|354aececdb8cf680|::ffff:127.0.0.1|admin|GET|/api/v1/ui/home/widget/artifactCount?$no_spinner=true|200|69|-|17.108|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:39:49.668Z|23bb702454aa0a12|::ffff:127.0.0.1|admin|GET|/api/v1/ui/home/widget/artifactCount?$no_spinner=true|200|69|-|12.130|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:39:50.159Z|470d3bb230bd80c9|::ffff:127.0.0.1|admin|GET|/api/v1/ui/artifactsearch/property/keyvalue|200|2|-|26.913|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:39:50.169Z|67311fd0708b27c |::ffff:127.0.0.1|admin|POST|/api/v1/ui/treebrowser?compacted=true&$no_spinner=true|200|-|94|328.368|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:39:50.400Z|1976316e1c8d31f8|::ffff:127.0.0.1|admin|POST|/api/v1/ui/treebrowser/tabsAndActions?$no_spinner=true|200|310|104|36.156|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:39:51.025Z|4a115b07ce9b0386|::ffff:127.0.0.1|admin|POST|/api/v1/ui/artifactactions/download?$no_spinner=true|200|58|36|71.441|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:39:51.375Z|6cbc1b8d52cb9b8 |::ffff:127.0.0.1|admin|POST|/api/v1/ui/artifactgeneral?$no_spinner=true|200|463|69|148.547|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:39:51.682Z|62f68f4739575381|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/canAnnotate?repoKey=libs-release&path=&$no_spinner=true|200|4|-|14.130|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:39:53.122Z|7c211ae97f03d90c|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/current|200|449|-|35.489|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:39:53.263Z|5e3b7230b367b194|::ffff:127.0.0.1|admin|GET|/api/v1/system/onboarding|200|179|-|86.688|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:39:53.265Z|636e80910af48d8e|::ffff:127.0.0.1|admin|GET|/api/v1/ui/onboarding/reposStates|200|597|-|65.889|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:40:07.255Z|6710b9347f3d1ca8|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|38.606|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:40:32.254Z|6cabdc95931ec69d|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|31.387|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:40:57.263Z|3d9d33bdf62cf2e4|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|44.083|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:41:22.301Z|57fec7ef36de511a|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|69.831|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:41:22.305Z|3b69d3af8518eb0d|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/current|200|449|-|113.363|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:41:22.529Z|70a7348b4228164e|::ffff:127.0.0.1|admin|GET|/api/v1/ui/onboarding/reposStates|200|597|-|51.367|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
